,Company,Issue type,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain
210,Vishal Mega Mart Ltd.,MainBoard,128.2,59740.1,18 Dec `24,8000.0 Cr,₹ 78,80.8x,14.2x,2.3x,27.3x,104.0,111.9,33.3%,64.3%
211,Property Share Investment Trust,MainBoard,994000.0,3469.1,10 Dec `24,352.9 Cr,₹ 1050000,0.1x,-,-,1.2x,1050000.0,1048945.7,0.0%,-5.3%
212,Suraksha Diagnostic Ltd.,MainBoard,322.6,1680.1,06 Dec `24,846.3 Cr,₹ 441,1.7x,1.4x,0.9x,1.3x,438.0,417.3,-0.7%,-26.9%
213,Enviro Infra Engineers Ltd.,MainBoard,233.7,4101.8,29 Nov `24,650.4 Cr,₹ 148,157.1x,153.8x,24.5x,89.9x,220.0,207.1,48.6%,57.9%
214,NTPC Green Energy Ltd.,MainBoard,106.8,90010.1,27 Nov `24,10000.0 Cr,₹ 108,3.3x,0.8x,3.4x,2.4x,111.5,121.7,3.2%,-1.1%
215,Zinka Logistics Solutions Ltd.,MainBoard,431.5,7730.2,22 Nov `24,1114.7 Cr,₹ 273,2.8x,0.2x,1.7x,1.9x,280.9,260.1,2.9%,58.1%
216,Niva Bupa Health Insurance Company Ltd.,MainBoard,83.5,15394.7,14 Nov `24,2200.0 Cr,₹ 74,2.1x,0.7x,2.7x,1.8x,78.1,74.0,5.6%,12.8%
217,ACME Solar Holdings Ltd.,MainBoard,255.5,15457.6,13 Nov `24,2900.0 Cr,₹ 289,3.5x,1.0x,3.1x,2.8x,251.0,253.2,-13.2%,-11.6%
218,Swiggy Ltd.,MainBoard,377.6,94160.1,13 Nov `24,11327.4 Cr,₹ 390,6.0x,0.4x,1.1x,3.6x,420.0,456.0,7.7%,-3.2%
219,Sagility India Ltd.,MainBoard,41.2,19287.1,12 Nov `24,2106.6 Cr,₹ 30,3.5x,1.9x,4.2x,3.2x,31.1,29.3,3.5%,37.3%
220,Afcons Infrastructure Ltd.,MainBoard,423.1,15561.0,04 Nov `24,5430.0 Cr,₹ 463,3.8x,5.0x,0.9x,2.6x,426.0,474.2,-8.0%,-8.6%
221,Godavari Biorefineries Ltd.,MainBoard,252.0,1289.6,30 Oct `24,554.8 Cr,₹ 352,2.8x,0.9x,1.7x,1.8x,308.0,343.2,-12.5%,-28.4%
222,Waaree Energies Ltd.,MainBoard,2931.1,84205.6,28 Oct `24,4321.4 Cr,₹ 1503,208.6x,62.5x,10.8x,76.3x,2500.0,2338.9,66.3%,95.0%
223,Deepak Builders & Engineers India Ltd.,MainBoard,139.5,649.7,28 Oct `24,260.0 Cr,₹ 203,13.9x,82.5x,39.8x,41.5x,200.0,161.9,-1.5%,-31.3%
224,Hyundai Motor India Ltd.,MainBoard,2085.8,169479.8,22 Oct `24,27870.2 Cr,₹ 1960,7.0x,0.6x,0.5x,2.4x,1934.0,1819.6,-1.3%,6.4%
